bank,rating,mean_sentiment,num_reviews
Commercial Bank of Ethiopia Mobile,1,-0.5918367346938775,49
Commercial Bank of Ethiopia Mobile,2,-0.375,16
Commercial Bank of Ethiopia Mobile,3,-0.5454545454545454,22
Commercial Bank of Ethiopia Mobile,4,0.1282051282051282,39
Commercial Bank of Ethiopia Mobile,5,0.6788321167883211,274
Dashen Bank Mobile,1,-0.8787878787878788,33
Dashen Bank Mobile,2,-0.8823529411764706,17
Dashen Bank Mobile,3,0.0,12
Dashen Bank Mobile,4,-0.08333333333333333,24
Dashen Bank Mobile,5,0.7643312101910829,314
Bank of Abyssinia Mobile,1,-0.8048780487804879,164
Bank of Abyssinia Mobile,2,-0.8181818181818182,11
Bank of Abyssinia Mobile,3,-0.16129032258064516,31
Bank of Abyssinia Mobile,4,0.0,18
Bank of Abyssinia Mobile,5,0.5113636363636364,176
